time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV]
1.610495,1.809999,0,116,0,136,-316,19904,0,112,0,132,0,104,0,112
1.619135,1.819999,0,116,0,136,-319,19908,0,112,0,132,0,104,0,112
1.627431,1.829999,0,116,0,136,-296,19908,0,108,0,132,0,100,0,112
1.635894,1.839999,0,116,0,136,-287,19908,0,108,0,136,0,100,0,112
1.644578,1.849999,0,116,0,136,-361,19904,0,112,0,132,0,104,0,112
1.653089,1.859999,0,116,0,140,-324,19908,0,112,0,132,0,104,0,112
1.661585,1.869999,0,116,0,136,-322,19908,0,112,0,128,0,100,0,112
1.670124,1.879999,0,116,0,136,-356,19904,0,112,0,132,0,100,0,112
1.678861,1.889999,0,120,0,136,-335,19904,0,112,0,132,0,104,0,112
1.687330,1.899999,0,116,0,136,-368,19904,0,112,0,132,0,104,0,112
1.695650,1.909999,0,116,0,136,-306,19904,0,112,0,136,0,104,0,112
1.703936,1.919999,0,116,0,140,-299,19904,0,112,0,136,0,100,0,112
1.712413,1.929999,0,116,0,136,-302,19908,0,112,0,136,0,100,0,112
1.720775,1.939999,0,116,0,132,-294,19904,0,112,0,132,0,100,0,112
1.729285,1.949998,0,116,0,136,-279,19912,0,112,0,136,0,104,0,112
1.737685,1.959998,0,116,0,136,-287,19904,0,112,0,132,0,100,0,112
1.746241,1.969998,0,116,0,136,-322,19904,0,112,0,132,0,100,0,112
1.754782,1.979998,0,112,0,136,-293,19908,0,112,0,132,0,104,0,112
1.763701,1.989998,0,112,0,136,-287,19912,0,112,0,132,0,100,0,112
1.772294,1.999998,0,116,0,136,-290,19904,0,108,0,132,0,100,0,112
1.781279,2.009999,0,116,0,136,-311,19908,0,108,0,136,0,100,0,112
1.789595,2.019999,0,112,0,136,-279,19908,0,108,0,132,0,104,0,112
1.797925,2.029999,0,116,0,136,-285,19908,0,112,0,132,0,104,0,112
1.806435,2.039999,0,116,0,136,-293,19908,0,112,0,132,0,104,0,112
1.814791,2.049999,0,112,0,136,-301,19908,0,112,0,132,0,100,0,112
1.823517,2.059999,0,116,0,140,-270,19908,0,112,0,132,0,100,0,112
1.832875,2.069999,0,116,0,136,-298,19908,0,112,0,136,0,104,0,112
1.842201,2.079998,0,116,0,140,-303,19908,0,112,0,132,0,104,0,112
1.855370,2.089998,0,116,0,136,-294,19912,0,108,0,132,0,100,0,112
1.864017,2.099998,0,116,0,136,-318,19904,0,112,0,132,0,104,0,112
1.872922,2.109998,0,112,0,136,-327,19904,0,108,0,132,0,100,0,112
1.882032,2.119998,0,116,0,136,-332,19904,0,108,0,132,0,104,0,112
1.890836,2.129998,0,116,0,136,-304,19908,0,116,0,136,0,104,0,112
1.899644,2.139998,0,116,0,136,-291,19908,0,112,0,136,0,100,0,116
1.908657,2.149998,0,112,0,136,-303,19904,0,112,0,136,0,100,0,112
1.916900,2.159998,0,116,0,136,-271,19908,0,112,0,132,0,104,0,112
1.924861,2.169998,0,116,0,136,-289,19908,0,112,0,132,0,100,0,112
1.932893,2.179998,0,112,0,136,-271,19908,0,112,0,136,0,100,0,112
1.941326,2.189998,0,116,0,136,-274,19904,0,112,0,132,0,100,0,108
1.949542,2.199998,0,116,0,136,-291,19904,0,112,0,136,0,104,0,112
1.957571,2.209998,0,116,0,136,-285,19912,0,112,0,132,0,104,0,112
1.965703,2.219998,0,116,0,136,-290,19908,0,112,0,136,0,100,0,112
1.974181,2.229998,0,116,0,136,-301,19904,0,112,0,132,0,104,0,112
1.982799,2.239998,0,116,0,136,-300,19912,0,108,0,136,0,104,0,112
1.990950,2.249998,0,116,0,136,-271,19908,0,112,0,136,0,104,0,112
1.999220,2.259998,0,116,0,136,-294,19908,0,112,0,132,0,104,0,108
2.007524,2.269998,0,112,0,136,-294,19904,0,108,0,136,0,100,0,108
2.015863,2.279998,0,116,0,136,-303,19908,0,112,0,136,0,100,0,112
2.024026,2.289998,0,116,0,140,-302,19908,0,108,0,132,0,100,0,112
2.032811,2.299998,0,116,0,136,-305,19904,0,112,0,136,0,104,0,112
2.041250,2.309998,0,116,0,136,-266,19912,0,112,0,132,0,100,0,112
2.049672,2.319998,0,116,0,136,-296,19908,0,108,0,136,0,100,0,112
2.058220,2.329998,0,112,0,136,-275,19912,0,112,0,132,0,104,0,112
2.067068,2.339998,0,116,0,136,-282,19908,0,112,0,136,0,104,0,112
2.075736,2.349998,0,112,0,136,-274,19916,0,112,0,132,0,104,0,112
2.084106,2.359998,0,116,0,136,-279,19908,0,108,0,132,0,104,0,112
2.092294,2.369998,0,116,0,136,-269,19908,0,108,0,132,0,104,0,112
2.100966,2.379998,0,116,0,136,-306,19912,0,112,0,136,0,100,0,112
2.109523,2.389998,0,116,0,136,-278,19912,0,108,0,132,0,104,0,112
2.118484,2.399998,0,120,0,132,-283,19908,0,108,0,132,0,104,0,112
2.127845,2.409998,0,116,0,136,-300,19908,0,112,0,136,0,100,0,108
2.142751,2.419998,0,116,0,132,-277,19912,0,108,0,136,0,104,0,116
2.150763,2.429998,0,116,0,136,-300,19908,0,112,0,132,0,104,0,112
2.158970,2.439998,0,116,0,136,-302,19912,0,112,0,132,0,104,0,112
2.166977,2.449998,0,116,0,136,-319,19908,0,112,0,132,0,104,0,112
2.174943,2.459998,0,116,0,136,-303,19904,0,112,0,136,0,100,0,112
2.182867,2.469998,0,116,0,136,-273,19912,0,108,0,132,0,100,0,112
2.191186,2.479998,0,116,0,136,-347,19904,0,112,0,136,0,100,0,112
2.200129,2.489998,0,116,0,136,-325,19908,0,112,0,132,0,100,0,112
2.208538,2.499998,0,116,0,136,-294,19908,0,112,0,132,0,100,0,112
2.217067,2.509998,0,116,0,136,-299,19912,0,112,0,132,0,100,0,112
2.225605,2.519998,0,116,0,136,-261,19908,0,108,0,132,0,104,0,116
2.233882,2.529998,0,116,0,136,-269,19912,0,108,0,136,0,100,0,112
2.241992,2.539998,0,116,0,136,-273,19912,0,112,0,132,0,104,0,116
2.250386,2.549998,0,112,0,132,-266,19912,0,112,0,132,0,104,0,112
2.259039,2.559998,0,116,0,136,-313,19904,0,108,0,136,0,100,0,108
2.267267,2.569998,0,116,0,136,-270,19912,0,112,0,132,0,104,0,112
2.275840,2.579998,0,116,0,136,-267,19912,0,112,0,132,0,104,0,112
2.284556,2.589998,0,116,0,136,-278,19908,0,112,0,132,0,104,0,108
2.293496,2.599998,0,116,0,136,-298,19908,0,112,0,132,0,104,0,112
2.301985,2.609998,0,112,0,136,-278,19908,0,112,0,132,0,100,0,112
2.310433,2.619998,0,116,0,136,-281,19912,0,112,0,136,0,104,0,112
2.318937,2.629998,0,116,0,136,-261,19908,0,112,0,136,0,100,0,112
2.327322,2.639998,0,116,0,136,-269,19908,0,112,0,136,0,100,0,112
2.335743,2.649998,0,116,0,140,-260,19908,0,112,0,136,0,104,0,112
2.344824,2.659998,0,116,0,136,-300,19904,0,108,0,132,0,100,0,112
2.354216,2.669998,0,116,0,136,-301,19908,0,112,0,132,0,104,0,112
2.364934,2.679998,0,116,0,136,-292,19908,0,112,0,136,0,100,0,112
2.373700,2.689998,0,116,0,136,-270,19908,0,112,0,132,0,100,0,112
2.382421,2.699998,0,116,0,136,-323,19904,0,112,0,132,0,104,0,112
2.391133,2.709998,0,116,0,136,-329,19904,0,112,0,132,0,100,0,112
2.399524,2.719998,0,112,0,136,-326,19904,0,112,0,132,0,100,0,112
2.407750,2.729998,0,116,0,136,-292,19908,0,112,0,132,0,104,0,108
2.416144,2.739998,0,116,0,136,-296,19904,0,108,0,136,0,104,0,112
2.424187,2.749998,0,120,0,136,-267,19908,0,108,0,132,0,100,0,112
2.432626,2.759998,0,116,0,136,-291,19912,0,112,0,132,0,104,0,112
2.440732,2.769998,0,112,0,136,-294,19904,0,112,0,132,0,104,0,112
2.448900,2.779998,0,116,0,136,-293,19908,0,108,0,132,0,100,0,112
2.457224,2.789998,0,112,0,136,-280,19908,0,112,0,128,0,104,0,112
2.465497,2.799998,0,116,0,136,-289,19908,0,112,0,132,0,100,0,112
2.473563,2.809998,0,116,0,136,-272,19912,0,112,0,132,0,104,0,112
2.481889,2.819998,0,112,0,136,-304,19904,0,112,0,136,0,104,0,112
2.490043,2.829998,0,116,0,136,-309,19904,0,108,0,136,0,100,0,112
2.498388,2.839998,0,120,0,136,-302,19908,0,108,0,132,0,100,0,112
2.506633,2.849998,0,116,0,136,-266,19912,0,112,0,132,0,100,0,108
2.515247,2.859998,0,116,0,136,-292,19904,0,112,0,136,0,104,0,112
2.523626,2.869998,0,112,0,136,-261,19916,0,112,0,132,0,104,0,116
2.532276,2.879998,0,116,0,132,-267,19908,0,112,0,132,0,104,0,112
2.540704,2.889998,0,116,0,140,-267,19912,0,108,0,136,0,104,0,112
2.549028,2.899998,0,120,0,136,-268,19912,0,112,0,136,0,104,0,112
2.557577,2.909998,0,116,0,136,-307,19904,0,112,0,136,0,104,0,108
2.565941,2.919998,0,112,0,136,-271,19912,0,112,0,132,0,100,0,108
2.574081,2.929998,0,116,0,136,-286,19912,0,108,0,132,0,104,0,108
2.582331,2.939998,0,112,0,136,-270,19908,0,108,0,132,0,100,0,112
2.591490,2.949998,0,116,0,136,-291,19908,0,108,0,136,0,104,0,112
2.601704,2.959998,0,116,0,136,-278,19908,0,108,0,132,0,108,0,112
2.612333,2.969998,0,116,0,136,-287,19908,0,112,0,132,0,104,0,108
2.620954,2.979998,0,116,0,136,-310,19908,0,112,0,132,0,104,0,112
2.629648,2.989998,0,116,0,136,-266,19912,0,108,0,140,0,104,0,112
2.638249,2.999998,0,116,0,136,-279,19908,0,112,0,132,0,104,0,112
2.647205,3.009998,0,112,0,136,-285,19912,0,108,0,136,0,104,0,112
2.655700,3.019998,0,116,0,136,-289,19908,0,112,0,132,0,104,0,108
2.664391,3.029998,0,116,0,136,-288,19904,0,112,0,132,0,104,0,112
2.672602,3.039998,0,116,0,136,-283,19908,0,112,0,132,0,104,0,112
2.680993,3.049998,0,120,0,136,-280,19908,0,112,0,136,0,104,0,108
2.689055,3.059998,0,116,0,140,-265,19912,0,108,0,136,0,100,0,108
2.697268,3.069998,0,112,0,136,-290,19904,0,108,0,132,0,100,0,112
2.705432,3.079998,0,112,0,136,-267,19912,0,108,0,132,0,100,0,112
2.713781,3.089998,0,116,0,136,-295,19912,0,112,0,132,0,100,0,112
2.722000,3.099998,0,116,0,136,-296,19908,0,112,0,132,0,104,0,108
2.730149,3.109998,0,116,0,136,-284,19908,0,112,0,132,0,100,0,112
2.739038,3.119998,0,116,0,136,-286,19908,0,112,0,132,0,100,0,112
2.747867,3.129997,0,116,0,136,-304,19908,0,112,0,132,0,104,0,112
2.756820,3.139997,0,116,0,136,-308,19904,0,112,0,132,0,104,0,108
2.765703,3.149997,0,112,0,136,-308,19904,0,108,0,136,0,100,0,112
2.774207,3.159997,0,116,0,136,-303,19908,0,112,0,132,0,104,0,112
2.782996,3.169997,0,116,0,132,-286,19908,0,108,0,132,0,104,0,112
2.791596,3.179997,0,116,0,136,-292,19912,0,108,0,136,0,104,0,112
2.800288,3.189997,0,116,0,136,-290,19904,0,112,0,132,0,104,0,116
2.809550,3.199997,0,116,0,132,-301,19908,0,108,0,136,0,100,0,112
2.818678,3.209997,0,116,0,136,-315,19908,0,108,0,132,0,100,0,112
2.828189,3.219997,0,116,0,132,-293,19908,0,112,0,136,0,108,0,112
2.837230,3.229997,0,116,0,136,-298,19908,0,112,0,136,0,104,0,112
2.846304,3.239997,0,112,0,136,-293,19908,0,112,0,136,0,100,0,112
2.854960,3.249997,0,116,0,136,-308,19904,0,108,0,136,0,104,0,112
