time[sec],count,Voltage[V],Ampare[A],Wattage[W]
3.2353110000000003,4.079998000000001,0.128,0.0,0.0
3.243363,4.089999,0.132,0.0,0.0
3.25141,4.0999989999999995,0.128,0.0,0.0
3.2594830000000004,4.109999,0.132,0.0,0.0
3.267536,4.119999,0.128,0.0,0.0
3.275624,4.13,0.128,0.0,0.0
3.2835330000000003,4.14,0.128,0.0,0.0
3.2914830000000004,4.15,0.132,0.0,0.0
3.299411,4.16,0.128,0.0,0.0
3.307332,4.170001,0.132,0.0,0.0
3.3153589999999995,4.180001,0.132,0.0,0.0
3.323262,4.1900010000000005,0.128,0.0,0.0
3.331182,4.200001,0.128,0.0,0.0
3.339186,4.210001,0.132,0.0,0.0
3.3471610000000003,4.220002,0.132,0.0,0.0
3.3550800000000005,4.230002,0.128,0.0,0.0
3.36308,4.240002,0.132,0.0,0.0
3.371058,4.250001999999999,0.132,0.0,0.0
3.379065,4.260003,0.132,0.0,0.0
3.3869860000000003,4.270003,0.132,0.0,0.0
3.3949879999999997,4.280003,0.128,0.0,0.0
3.402925,4.290003,0.132,0.0,0.0
3.41086,4.300004,0.132,0.0,0.0
3.418944,4.310004,0.132,0.0,0.0
3.4268669999999997,4.320004,0.128,0.0,0.0
3.434801,4.330004,0.132,0.0,0.0
3.442737,4.340004,0.128,0.0,0.0
3.4509279999999998,4.350005,0.132,0.0,0.0
3.458925,4.360005,0.132,0.0,0.0
3.466913,4.370005,0.132,0.0,0.0
3.474962,4.380005000000001,0.132,0.0,0.0
3.482958,4.390006,0.132,0.0,0.0
3.490971,4.400005999999999,0.132,0.0,0.0
3.4989760000000003,4.410006,0.132,0.0,0.0
3.5070379999999997,4.420006,0.132,0.0,0.0
3.5150330000000003,4.430007,0.132,0.0,0.0
3.523175,4.440007,0.132,0.0,0.0
3.531228,4.450007,0.132,0.0,0.0
3.5394989999999997,4.460007,0.132,0.0,0.0
3.54754,4.470007,0.132,0.0,0.0
3.555509,4.480008,0.132,0.0,0.0
3.563532,4.490008,0.132,0.0,0.0
3.571546,4.500008,0.128,0.0,0.0
3.579586,4.510008,0.132,0.0,0.0
3.587626,4.520009,0.128,0.0,0.0
3.5955809999999997,4.530009,0.136,0.0,0.0
3.603535,4.5400089999999995,0.128,0.0,0.0
3.611464,4.550008999999999,0.128,0.0,0.0
3.619392,4.560009,0.132,0.0,0.0
3.6274669999999998,4.57001,0.132,0.0,0.0
3.635383,4.58001,0.132,0.0,0.0
3.6433129999999996,4.5900099999999995,0.128,0.0,0.0
3.6512559999999996,4.60001,0.128,0.0,0.0
3.65922,4.610011,0.128,0.0,0.0
3.6671739999999997,4.620011,0.128,0.0,0.0
3.675233,4.630011,0.132,0.0,0.0
3.683298,4.640011,0.132,0.0,0.0
3.6912260000000003,4.650012,0.132,0.0,0.0
3.6992279999999997,4.660012,0.132,0.0,0.0
3.707204,4.670012,0.128,0.0,0.0
3.7152480000000003,4.6800120000000005,0.132,0.0,0.0
3.7232300000000005,4.690012,0.132,0.0,0.0
3.73116,4.700012999999999,0.132,0.0,0.0
3.7391330000000003,4.710013,0.132,0.0,0.0
3.7472160000000003,4.720013,0.132,0.0,0.0
3.7551730000000005,4.730013,0.128,0.0,0.0
3.763181,4.7400139999999995,0.132,0.0,0.0
3.7711300000000003,4.750014,0.128,0.0,0.0
3.7791370000000004,4.760014,0.132,0.0,0.0
3.787008,4.770014,0.128,0.0,0.0
3.7948410000000004,4.780015000000001,0.132,0.0,0.0
3.802739,4.790015,0.128,0.0,0.0
3.810568,4.800015,0.128,0.0,0.0
3.818532,4.810015,0.132,0.0,0.0
3.826392,4.820015,0.128,0.0,0.0
3.8342059999999996,4.8300160000000005,0.132,0.0,0.0
3.842272,4.840016,0.128,0.0,0.0
3.850364,4.850016,0.132,0.0,0.0
3.8582199999999998,4.860016000000001,0.132,0.0,0.0
3.8662419999999997,4.870017,0.132,0.0,0.0
3.874252,4.880017,0.132,0.0,0.0
3.882192,4.890016999999999,0.128,0.0,0.0
3.8901269999999997,4.900017,0.132,0.0,0.0
3.897996,4.910017,0.128,0.0,0.0
3.9058660000000005,4.920018,0.128,0.0,0.0
3.91373,4.9300180000000005,0.132,0.0,0.0
3.9216,4.940018,0.132,0.0,0.0
3.929467,4.950018,0.132,0.0,0.0
3.937324,4.960019,0.132,0.0,0.0
3.9452839999999996,4.970019000000001,0.128,0.0,0.0
3.953897,4.980019,0.132,0.0,0.0
3.961907,4.990019,0.132,0.0,0.0
