time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
2.504123,2.159998,-627,19492,0,128,0,112,809,9084,0,112,0,116,0,112,0.000000
2.515379,2.169998,-652,19484,0,124,0,108,808,9084,0,112,0,116,0,108,0.000000
2.526815,2.179998,-660,19488,0,128,0,112,810,9080,0,116,0,112,0,116,0.000000
2.537532,2.189998,-626,19488,0,124,0,108,811,9080,0,108,0,116,0,108,0.000000
2.548675,2.199998,-658,19484,0,128,0,112,811,9080,0,116,0,116,0,112,0.000000
2.560336,2.209998,-684,19484,0,128,0,112,809,9084,0,112,0,116,0,112,0.000000
2.570986,2.219998,-665,19484,0,132,0,108,809,9080,0,116,0,116,0,112,0.000000
2.580864,2.229998,-671,19484,0,128,0,112,830,9084,0,112,0,116,0,112,0.000000
2.591645,2.239998,-668,19476,0,124,0,108,829,9080,0,116,0,116,0,108,0.000000
2.601882,2.249998,-706,19480,0,124,0,108,831,9080,0,112,0,112,0,112,0.000000
2.611821,2.259998,-646,19484,0,128,0,112,831,9080,0,116,0,116,0,112,0.000000
2.622096,2.269998,-676,19480,0,128,0,108,830,9080,0,116,0,120,0,112,0.000000
2.633559,2.279998,-696,19480,0,124,0,108,831,9080,0,116,0,116,0,112,0.000000
2.643886,2.289998,-654,19492,0,124,0,108,832,9084,0,116,0,116,0,112,0.000000
2.654287,2.299998,-661,19484,0,124,0,108,832,9080,0,116,0,116,0,108,0.000000
2.665517,2.309998,-667,19480,0,128,0,108,834,9080,0,112,0,116,0,112,0.000000
2.677128,2.319998,-692,19480,0,124,0,112,832,9080,0,116,0,116,0,112,0.000000
2.688300,2.329998,-668,19484,0,124,0,108,831,9080,0,112,0,116,0,112,0.000000
2.700344,2.339998,-674,19488,0,128,0,112,830,9084,0,116,0,116,0,112,0.000000
2.712132,2.349998,-672,19484,0,128,0,112,833,9080,0,112,0,116,0,112,0.000000
2.723341,2.359998,-637,19484,0,128,0,108,833,9080,0,116,0,116,0,112,0.000000
2.735540,2.369998,-682,19484,0,128,0,108,832,9080,0,112,0,116,0,108,0.000000
2.747447,2.379998,-694,19480,0,124,0,108,833,9084,0,112,0,116,0,116,0.000000
2.758725,2.389998,-670,19484,0,128,0,108,833,9080,0,112,0,120,0,112,0.000000
2.770705,2.399998,-667,19484,0,128,0,108,831,9080,0,116,0,116,0,116,0.000000
2.782920,2.409998,-692,19484,0,128,0,108,831,9080,0,112,0,112,0,112,0.000000
2.794568,2.419998,-704,19484,0,132,0,112,834,9080,0,116,0,116,0,112,0.000000
2.806415,2.429998,-683,19476,0,128,0,112,830,9080,0,112,0,116,0,112,0.000000
2.818295,2.439998,-687,19476,0,128,0,112,831,9080,0,116,0,116,0,112,0.000000
2.829279,2.449998,-678,19480,0,128,0,112,830,9084,0,116,0,116,0,112,0.000000
2.840744,2.459998,-672,19480,0,128,0,112,831,9080,0,112,0,116,0,112,0.000000
2.853308,2.469998,-689,19480,0,128,0,108,831,9080,0,112,0,116,0,112,0.000000
2.865286,2.479998,-654,19484,0,128,0,112,852,9084,0,112,0,116,0,112,0.000000
2.875982,2.489998,-684,19484,0,128,0,112,852,9080,0,112,0,116,0,112,0.000000
2.886789,2.499998,-700,19484,0,128,0,112,850,9080,0,116,0,116,0,112,0.000000
2.896731,2.509998,-681,19492,0,128,0,108,853,9080,0,116,0,116,0,112,0.000000
2.906992,2.519998,-659,19480,0,124,0,108,851,9080,0,112,0,116,0,112,0.000000
2.918094,2.529998,-686,19484,0,128,0,108,850,9076,0,116,0,116,0,112,0.000000
2.928814,2.539998,-727,19476,0,124,0,108,851,9080,0,116,0,116,0,112,0.000000
2.938866,2.549998,-688,19480,0,124,0,112,852,9080,0,116,0,116,0,112,0.000000
2.950135,2.559998,-688,19476,0,128,0,112,851,9076,0,116,0,112,0,112,0.000000
2.960941,2.569998,-697,19476,0,124,0,112,851,9080,0,116,0,116,0,108,0.000000
2.971571,2.579998,-662,19480,0,128,0,112,850,9080,0,112,0,116,0,112,0.000000
2.983465,2.589998,-679,19480,0,128,0,108,851,9080,0,112,0,116,0,112,0.000000
2.995179,2.599998,-730,19472,0,124,0,108,851,9076,0,116,0,116,0,112,0.000000
3.005830,2.609998,-684,19484,0,124,0,112,852,9080,0,116,0,116,0,112,0.000000
3.016577,2.619998,-684,19484,0,124,0,112,852,9080,0,112,0,116,0,112,0.000000
3.027323,2.629998,-705,19484,0,124,0,112,851,9080,0,116,0,116,0,116,0.000000
3.038775,2.639998,-705,19480,0,128,0,108,851,9076,0,116,0,116,0,112,0.000000
3.050284,2.649998,-699,19480,0,128,0,112,851,9080,0,116,0,116,0,112,0.000000
3.061170,2.659998,-683,19480,0,128,0,108,850,9080,0,116,0,116,0,112,0.000000
3.072372,2.669998,-684,19484,0,128,0,112,850,9084,0,112,0,116,0,112,0.000000
3.084136,2.679998,-699,19480,0,124,0,108,852,9080,0,116,0,116,0,112,0.000000
3.094791,2.689998,-659,19488,0,128,0,112,851,9080,0,112,0,116,0,112,0.000000
